time,posX,posY,score
2,86678,-0,09999996,0,0
4,085439,-2,599998,0,1
5,291267,1,199999,0,2
6,776825,-0,5326147,0,4
7,777332,-0,4326147,0,5
8,777508,-0,7326146,0,6
9,778193,0,06738515,0,7
10,77891,-0,8326145,0,8
11,77971,-0,2326147,0,9
13,39637,1,467384,0,11
